scholar_user_id,name,affiliation,email_domain,homepage,citedby,citedby5y,hindex,hindex5y,i10index,i10index5y,url_picture,prof_id,prof_name
mD0NJJIAAAAJ,Edmundo Molina-Perez,"Assistant Research Professor, School of Government, Tecnologico de Monterrey",@tec.mx,https://www.edmundomolinamx.org/,1619,1317,15,13,20,18,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=mD0NJJIAAAAJ&citpid=15,TEC-001,"Molina-Perez, Edmundo"
cOdbx8oAAAAJ,James,"Assistant Research Professor, Tecnologico de Monterrey",@tec.mx,,406,305,10,9,10,7,,TEC-002,"Syme, James"
FylAv6QAAAAJ,Daniel Bernal-Serrano,London School of Hygiene & Tropical Medicine,@lshtm.ac.uk,https://www.lshtm.ac.uk/aboutus/people/bernal-serrano.daniel,216,199,7,6,6,5,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=FylAv6QAAAAJ&citpid=1,TEC-003,"Bernal-Serrano, Daniel"
XjpOkmUAAAAJ,Sandra Aguilar-Gomez,Tecnologico de Monterrey,@tec.mx,https://sandraaguilargomez.com/,656,640,10,10,10,10,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=XjpOkmUAAAAJ&citpid=4,TEC-004,"Aguilar-Gomez, Sandra"
0ClZFNMAAAAJ,Paola Abril Campos Rivera,"Research Professor, Tecnológico de Monterrey",@tec.mx,https://egobiernoytp.tec.mx/es/sobre-egob/facultad-investigadores/perfil-asociados/paola-abril-campos,1189,760,12,11,13,12,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=0ClZFNMAAAAJ&citpid=1,TEC-005,"Campos-Rivera, Paola Abril"
BuYiG2kAAAAJ,Magdalena García,Tecnológico de Monterrey,@tamaulipas.gob.mx,,2,2,1,1,0,0,,TEC-006,"Garcia, Magdalena"
KSIpntkAAAAJ,Roberto Duran-Fernandez,Inter American Development Bank,@iadb.org,,272,117,8,7,7,4,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=KSIpntkAAAAJ&citpid=5,TEC-007,"Duran-Fernandez, Roberto"
PiWRreUAAAAJ,Miguel Angel Santos,"Dean, School of Government and Public Transformation at TEC de Monterrey",@tec.mx,http://www.miguelangelsantos.net/,1049,622,18,15,26,19,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=PiWRreUAAAAJ&citpid=9,TEC-008,"Santos, Miguel Angel"
nguMmzcAAAAJ,Gonzalo G. Peraza Mues,"Center for the Future of Cities, Instituto Tecnológico y de Estudios Superiores de Monterrey",@tec.mx,,43,27,4,3,1,0,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=nguMmzcAAAAJ&citpid=2,TEC-010,"Peraza-Mues, Gonzalo G."
IL2Xlf0AAAAJ,Fernanda Sobrino,"Assistant Professor, Escuela de Gobierno y Transformación Pública Tec de Monterrey",@tec.mx,http://fersobrino.com/,114,108,4,4,1,1,,TEC-011,"Sobrino, Fernanda"
cyVK7ngAAAAJ,Guillermina Benavides Rincón,Tecnológico de Monterrey,@tec.mx,,121,117,6,6,4,4,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=cyVK7ngAAAAJ&citpid=3,TEC-012,"Benavides-Rincon, Guillermina"
YwTag-gAAAAJ,Jose Morales-Arilla,Assistant Professor at Texas A&M's Bush School of Government and Public Service,@tamu.edu,https://josemoralesarilla.com/,313,179,9,7,9,5,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=YwTag-gAAAAJ&citpid=2,TEC-013,"Morales-Arilla, Jose"
axuzNJ0AAAAJ,David Contreras-Loya,Tecnológico de Monterrey,@tec.mx,https://www.dcloya.com/,541,341,13,10,16,12,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=axuzNJ0AAAAJ&citpid=1,TEC-014,"Contreras-Loya, David"
qAgvXfQAAAAJ,Fernando Gómez-Zaldívar,Tecnologico de Monterrey - Escuela de Gobierno y Transformación Pública,@tec.mx,http://linkedin.com/in/fergo7,196,171,7,7,5,5,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=qAgvXfQAAAAJ&citpid=10,TEC-015,"Gomez-Zaldivar, Fernando"
EobFjNEAAAAJ,ernesto stein,Inter-American Development Bank,@iadb.org,,19349,3102,52,26,113,50,,TEC-016,"Stein, Ernesto H."
s3yl5UQAAAAJ,Alejandro Díaz-Domínguez,Tecnológico de Monterrey,@tec.mx,,340,210,12,7,12,6,,TEC-017,"Diaz-Dominguez, Alejandro"
MJ3YExwAAAAJ,Roberto Ponce Lopez,Tecnologico de Monterrey,@tec.mx,http://www.robertoponcelopez.com/,221,218,6,6,4,4,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=MJ3YExwAAAAJ&citpid=1,TEC-018,"Ponce-Lopez, Roberto"
LdrxBQEAAAAJ,Adan Silverio-Murillo,"School of Goverment, Tecnologico de Monterrey",@tec.mx,https://www.adansilveriomurillo.com/,789,774,12,12,13,13,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=LdrxBQEAAAAJ&citpid=1,TEC-019,"Silverio-Murillo, Adan"
aPTg0cQAAAAJ,Hector J. Villarreal,"Tec de Monterrey, CIEP, EIDLL",@tec.mx,https://ciep.mx/,746,294,13,9,14,9,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=aPTg0cQAAAAJ&citpid=4,TEC-020,"Villarreal, Héctor J."
Pv5NR2YAAAAJ,Adolfo De Unánue,EGobiernoyTP : Tec de Monterrey,@tec.mx,https://nanounanue.gitlab.io/,258,135,7,6,4,3,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Pv5NR2YAAAAJ&citpid=1,TEC-021,"De Unánue, Adolfo"
